pais,code,ferty,rat_nac,rat_mu,idh,rat_mor_inf,pob_rur,gini,gdp
Australia,AUS,11.715,12.4,6.5,0.803,3.1,14.096,0.303,44781.3227596879
Austria,AUT,7.34,10,9.5,0.793,2.9,41.906,0.272,45421.4253996812
Belgium,BEL,4.651,10.5,9.6,0.757,3,2.039,0.263,43132.8055365392
Canada,CAN,8.387,10.3,7.5,0.799,4.4,18.65,0.343,43871.4023481712
Chile,CHL,41.052,12.711,6.076,0.674,6.3,12.51,0.466,22296.837004324
Czech Republic,CZE,11.972,10.8,10.5,0.782,2.6,26.325,0.251,32570.7811794526
Denmark,DNK,4.123,10.6,8.2,0.774,3.6,12.243,0.276,47554.9213234772
Estonia,EST,7.698,10.5,11.8,0.747,2.2,31.283,0.321,29703.611815697
Finland,FIN,5.813,9.1,9.8,0.814,1.5,14.675,0.253,41443.2139729749
France,FRA,4.727,11.4,9,0.765,3.4,19.82,0.293,38955.8339665168
Germany,DEU,8.095,9.5,11.3,0.795,3.2,22.739,0.295,45393.385454576
Greece,GRC,7.223,8.2,11.6,0.681,3.7,21.276,0.343,24601.6732136507
Hungary,HUN,23.979,9.7,13.5,0.703,3.8,28.938,0.281,27031.7800201178
Iceland,ISL,6.269,11.9,6.5,0.74,1.6,6.227,0.241,47839.5190292975
Ireland,IRL,7.515,12.9,6.3,0.806,3.2,37.053,0.295,66132.1424262711
Israel,ISR,9.607,21.1,5.1,0.763,3,7.664,0.428,33122.7171558803
Italy,ITA,5.24,7.6,10.7,0.769,2.7,29.856,0.331,35491.2671073158
Japan,JPN,3.78,7.6,10.8,0.844,1.9,8.465,0.379,38907.3681373527
"Korea, Rep.",KOR,1.379,7,5.6,0.845,2.8,18.497,0.316,35938.3742161469
Latvia,LVA,16.171,10.7,14.8,0.724,3.6,31.925,0.342,24858.6223982781
Lithuania,LTU,10.854,10.1,14.2,0.712,3.6,32.484,0.37,29667.7939185263
Luxembourg,LUX,4.727,10.4,7.1,0.692,2,9.273,0.31,95665.6580310466
Mexico,MEX,60.365,17.918,5.933,0.607,11.6,20.133,0.426,17955.5941023653
Netherlands,NLD,3.788,9.9,8.8,0.8,3.3,8.923,0.269,48809.0890586595
New Zealand,NZL,19.27,12.43,6.95,0.767,4.8,13.534,0.362,36046.3943100161
Norway,NOR,5.141,10.7,7.7,0.771,2.1,18.129,0.25,65013.8351743795
Poland,POL,10.538,10.6,10.6,0.747,3.9,39.895,0.298,27378.8923227545
Portugal,PRT,8.38,8.4,10.6,0.776,3.1,35.348,0.339,28257.3441737696
Slovak Republic,SVK,25.684,10.7,9.9,0.694,4.8,46.249,0.243,30058.6295624233
Slovenia,SVN,3.776,9.8,9.9,0.788,1.8,45.727,0.244,31448.8539123851
Spain,ESP,7.725,8.4,9,0.743,2.6,19.92,0.345,34125.8082669423
Sweden,SWE,5.076,11.5,9.1,0.8,2.2,12.854,0.276,47261.3001516208
Switzerland,CHE,2.763,10.3,7.9,0.767,3.7,26.239,0.294,58171.4127491858
Turkey,TUR,26.559,16.264,5.394,0.626,9.7,25.356,0.415,25030.9273860531
United Kingdom,GBR,13.37,11.4,9.2,0.781,3.7,16.857,0.315,40228.6629724942
United States,USA,19.86,11.8,8.5,0.762,5.7,17.942,0.415,54470.7966696437
